"Model","Parameter","Rhat"
"Rate(16=<UV<50)","mu[40]",1.0003293857836
"Rate(16=<UV<50)","mu[41]",1.00034729672482
"Rate(16=<UV<50)","mu[42]",1.00003536439603
"Rate(16=<UV<50)","mu[43]",1.00007622529155
"Rate(16=<UV<50)","mu[44]",1.00003404936293
"Rate(16=<UV<50)","mu[45]",1.00034712003933
"Rate(16=<UV<50)","mu[46]",1.00030725720323
"Rate(16=<UV<50)","mu[47]",1.00005452710387
"Rate(16=<UV<50)","mu[48]",1.00010742554112
"Rate(16=<UV<50)","mu[49]",1.00003659683268
"Rate(16=<UV<50)","mu[50]",1.00017497100878
"Rate(16=<UV<50)","mu[51]",1.00009036596699
"Rate(16=<UV<50)","mu[52]",1.00005290219067
"Rate(16=<UV<50)","mu[53]",1.00004710506443
"Rate(16=<UV<50)","mu[54]",1.00004517880292
"Rate(16=<UV<50)","mu[55]",1.00009147253639
"Rate(16=<UV<50)","mu[56]",1.00004232471662
"Rate(16=<UV<50)","mu[57]",1.0000622052156
"Rate(16=<UV<50)","mu[58]",1.0001247466239
"Rate(16=<UV<50)","mu[59]",1.0000388311717
"Rate(16=<UV<50)","mu[60]",1.0001031593188
"Rate(16=<UV<50)","mu[61]",1.00005398810821
"Rate(16=<UV<50)","mu[62]",1.0000333809819
"Rate(16=<UV<50)","mu[63]",1.00031560004887
"Rate(16=<UV<50)","mu[64]",1.00025269212718
"Rate(16=<UV<50)","mu[65]",1.00029149685354
"Rate(16=<UV<50)","mu[66]",1.00003366908963
"Rate(16=<UV<50)","mu[67]",1.00023220097196
"Rate(16=<UV<50)","lp__",1.0001673892366
"Rate(V>=50)","L",1.00016162819446
"Rate(V>=50)","k",1.00012852199838
"Rate(V>=50)","x0",1.00042514773677
"Rate(V>=50)","phi",1.00008191761665
"Rate(V>=50)","mu[1]",1.00004007714158
"Rate(V>=50)","mu[2]",1.00009928418169
"Rate(V>=50)","mu[3]",1.00004566421933
"Rate(V>=50)","mu[4]",1.00008362776947
"Rate(V>=50)","mu[5]",1.00009815335712
"Rate(V>=50)","mu[6]",1.00002150785681
"Rate(V>=50)","mu[7]",1.00002527951364
"Rate(V>=50)","mu[8]",1.00002255722853
"Rate(V>=50)","mu[9]",1.00009184420554
"Rate(V>=50)","mu[10]",1.00005900328255
"Rate(V>=50)","mu[11]",1.00003756919
"Rate(V>=50)","mu[12]",1.00004376012556
"Rate(V>=50)","mu[13]",1.00002848227606
"Rate(V>=50)","mu[14]",1.00008131393123
"Rate(V>=50)","mu[15]",1.00003951806171
"Rate(V>=50)","mu[16]",1.00010819644209
"Rate(V>=50)","mu[17]",1.00003484476879
"Rate(V>=50)","mu[18]",1.00010283905675
"Rate(V>=50)","mu[19]",1.00005723594476
"Rate(V>=50)","mu[20]",1.00007139788473
"Rate(V>=50)","mu[21]",1.00005689694503
"Rate(V>=50)","mu[22]",1.00010353212777
"Rate(V>=50)","mu[23]",1.00008508644419
"Rate(V>=50)","mu[24]",1.00007882025495
"Rate(V>=50)","mu[25]",1.00007061825091
"Rate(V>=50)","mu[26]",1.00010469415103
"Rate(V>=50)","mu[27]",1.00003908398182
"Rate(V>=50)","mu[28]",1.00010168877217
"Rate(V>=50)","mu[29]",1.00001045110794
"Rate(V>=50)","mu[30]",1.00005394523711
"Rate(V>=50)","mu[31]",1.00007768739244
"Rate(V>=50)","mu[32]",1.00008963643224
"Rate(V>=50)","mu[33]",1.00008977307628
"Rate(V>=50)","mu[34]",1.00006165295229
"Rate(V>=50)","mu[35]",1.00005944211452
"Rate(V>=50)","mu[36]",1.00010691536895
"Rate(V>=50)","mu[37]",1.00009554320654
"Rate(V>=50)","mu[38]",1.00009856946742
"Rate(V>=50)","mu[39]",1.00000207418478
"Rate(V>=50)","mu[40]",1.00009689465055
"Rate(V>=50)","mu[41]",1.00006954045091
"Rate(V>=50)","mu[42]",1.00005456707151
"Rate(V>=50)","mu[43]",1.00009205861864
"Rate(V>=50)","mu[44]",1.00007126182074
"Rate(V>=50)","mu[45]",1.00008197819193
"Rate(V>=50)","mu[46]",1.00010351461487
"Rate(V>=50)","mu[47]",1.00004188688963
"Rate(V>=50)","mu[48]",1.00002692083777
"Rate(V>=50)","mu[49]",1.00007411323367
"Rate(V>=50)","mu[50]",1.00010742800651
"Rate(V>=50)","mu[51]",1.00003035338551
"Rate(V>=50)","mu[52]",1.00004263895098
"Rate(V>=50)","mu[53]",1.00004562511053
"Rate(V>=50)","mu[54]",1.00008024614593
"Rate(V>=50)","mu[55]",1.00003009992401
"Rate(V>=50)","mu[56]",1.00004858496014
"Rate(V>=50)","mu[57]",1.00008770997675
"Rate(V>=50)","mu[58]",1.00010187387296
"Rate(V>=50)","mu[59]",1.0000512158813
"Rate(V>=50)","mu[60]",1.0000276885573
"Rate(V>=50)","mu[61]",1.00008453745487
"Rate(V>=50)","mu[62]",1.00005721869698
"Rate(V>=50)","mu[63]",1.00003512411001
"Rate(V>=50)","mu[64]",1.00010928314672
"Rate(V>=50)","mu[65]",1.00002027947092
"Rate(V>=50)","mu[66]",1.00007072949414
"Rate(V>=50)","mu[67]",1.00010964568103
"Rate(V>=50)","lp__",0.999929145036629
"Rate(UV>=50)","L",1.0000246783807
"Rate(UV>=50)","k",1.00034616581788
"Rate(UV>=50)","x0",1.00014830764328
"Rate(UV>=50)","phi",1.00037629792771
"Rate(UV>=50)","mu[1]",1.00031050328491
"Rate(UV>=50)","mu[2]",1.00015003008622
"Rate(UV>=50)","mu[3]",1.00029770986158
"Rate(UV>=50)","mu[4]",1.00020115339834
"Rate(UV>=50)","mu[5]",1.00006037914855
"Rate(UV>=50)","mu[6]",1.00035434661168
"Rate(UV>=50)","mu[7]",1.00034395566695
"Rate(UV>=50)","mu[8]",1.00035068078841
"Rate(UV>=50)","mu[9]",1.0000612673853
"Rate(UV>=50)","mu[10]",1.0002660879146
"Rate(UV>=50)","mu[11]",1.00010704056172
"Rate(UV>=50)","mu[12]",1.00010142733394
"Rate(UV>=50)","mu[13]",1.00033661825863
"Rate(UV>=50)","mu[14]",1.00020780231712
"Rate(UV>=50)","mu[15]",1.00031177226606
"Rate(UV>=50)","mu[16]",1.00007213774348
"Rate(UV>=50)","mu[17]",1.0003223188097
"Rate(UV>=50)","mu[18]",1.00006228118809
"Rate(UV>=50)","mu[19]",1.00027038225414
"Rate(UV>=50)","mu[20]",1.00023480106255
"Rate(UV>=50)","mu[21]",1.00027120189512
"Rate(UV>=50)","mu[22]",1.00006288100988
"Rate(UV>=50)","mu[23]",1.0001968775353
"Rate(UV>=50)","mu[24]",1.00006895498764
"Rate(UV>=50)","mu[25]",1.00023683887752
"Rate(UV>=50)","mu[26]",1.00006416838634
"Rate(UV>=50)","mu[27]",1.00031275630055
"Rate(UV>=50)","mu[28]",1.00014046889913
"Rate(UV>=50)","mu[29]",1.00012504573525
"Rate(UV>=50)","mu[30]",1.00027828591006
"Rate(UV>=50)","mu[31]",1.00021793236688
"Rate(UV>=50)","mu[32]",1.0001830474683
"Rate(UV>=50)","mu[33]",1.00006208224757
"Rate(UV>=50)","mu[34]",1.00025957960934
"Rate(UV>=50)","mu[35]",1.00026501596091
"Rate(UV>=50)","mu[36]",1.00011512233305
"Rate(UV>=50)","mu[37]",1.00016362203717
"Rate(UV>=50)","mu[38]",1.0001527308852
"Rate(UV>=50)","mu[39]",1.00012666356417
"Rate(UV>=50)","mu[40]",1.00006031583023
"Rate(UV>=50)","mu[41]",1.00007681489087
"Rate(UV>=50)","mu[42]",1.00027680117867
"Rate(UV>=50)","mu[43]",1.00017531937588
